"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
323,672391,"Ort, Kaleb",541,59.7,0.325,0.163,0.39,0.487,0.379,0.336,0.26,26,80,93.7,20.9,2177,96.2,95.72,45,170,152,-0.5,6.13,108,157,120,150,289,328,292
322,656887,"Reid-Foley, Sean",567,56.8,0.281,0.219,0.333,0.5,0.388,0.363,0.244,18,64,87.8,22.9,2172,94.3,95.52,45,155,167,1.2000000000000028,7.08,113,151,115,147,299,326,303
322,670167,"Schreiber, John",1076,29.9,0.185,0.123,0.318,0.309,0.258,0.242,0.171,15,81,88.3,12.1,2234,94.3,94.95,56,173,149,0.6000000000000085,6.6,113,158,119,150,287,326,295
322,657265,"Strzelecki, Peter",605,53.2,0.224,0.121,0.286,0.345,0.297,0.324,0.238,13,58,90,18,2416,93.5,93.61,46,156,166,0.09999999999999432,6.45,109,152,121,145,294,318,296
321,663734,"Neidert, Nick",680,47.2,0.293,0.173,0.302,0.467,0.377,0.408,0.322,22,75,90.2,15.4,2087,91.8,91.42,17,149,172,-0.3999999999999915,6.27,109,151,119,149,298,315,287
321,502327,"Santiago, Héctor",491,65.4,0.241,0.074,0.342,0.315,0.298,0.274,0.199,13,54,91.1,14.5,2044,90.9,90.18,42,156,165,-0.7000000000000028,5.85,110,155,118,148,296,320,288
319,676050,"Naughton, Packy",945,33.8,0.365,0.159,0.489,0.524,0.417,0.368,0.302,23,63,90.9,20.3,2062,91.9,91.23,26,128,191,-0.7000000000000028,5.84,111,155,117,149,302,325,298
318,643493,"Pruitt, Austin",919,34.6,0.286,0.377,0.25,0.662,0.421,0.377,0.27,22,77,88.8,16.4,2267,91.5,90.36,24,145,173,-1.0999999999999943,5.7,114,154,118,150,301,321,294
316,622554,"Domínguez, Seranthony",837,37.8,0.155,0.103,0.242,0.259,0.273,0.27,0.164,9,58,87.2,17.3,2352,97.6,97.39,52,151,165,-0.19999999999998863,6.23,112,151,120,146,296,326,293
316,669935,"Alexy, A.J.",576,54.9,0.222,0.175,0.22,0.397,0.358,0.436,0.315,14,63,90.3,21.2,2197,93.6,94,20,140,176,0.4000000000000057,6.66,114,156,123,148,301,321,296
315,663770,"Evans, Demarcus",522,60.3,0.237,0.136,0.3,0.373,0.338,0.334,0.232,14,59,88.9,28.3,2467,91,90.88,29,140,175,-0.09999999999999432,6.29,111,154,125,147,303,326,296
315,657277,"Webb, Logan",5220,6,0.22,0.051,0.325,0.271,0.283,0.307,0.231,13,59,87.3,14.1,2113,92.9,93.91,30,131,184,1,6.75,113,155,118,151,295,323,298
314,666142,"Ragans, Cole",706,44.5,0.388,0.313,0.404,0.701,0.501,0.406,0.306,26,67,91.9,18.3,2400,92.1,91.42,17,146,168,-0.6999999999999886,6.08,110,152,116,146,297,320,293
312,668868,"Thompson, Zack",575,54.3,0.172,0.078,0.2,0.25,0.239,0.285,0.215,11,64,89.3,7,2002,94.8,95.64,24,155,157,0.7999999999999972,6.78,112,154,121,150,295,318,297
312,665645,"Castro, Kervin",440,70.9,0.273,0.167,0.291,0.439,0.346,0.356,0.263,18,66,88.8,17.7,2320,93.6,85.41,38,152,160,-8.199999999999989,6.87,110,152,118,151,299,322,295
311,642068,"Sheffield, Jordan",493,63.1,0.197,0.106,0.2,0.303,0.293,0.353,0.246,13,66,91,14.7,2576,96.2,95.46,23,139,172,-0.7000000000000028,5.75,114,152,120,149,299,328,302
310,592789,"Syndergaard, Noah",2052,15.1,0.313,0.287,0.339,0.6,0.407,0.353,0.26,25,80,89.3,20.6,2134,94.1,94.75,33,165,143,0.7000000000000028,6.71,115,152,113,156,294,323,296
310,451584,"Davis, Wade",769,40.3,0.293,0.241,0.277,0.534,0.373,0.402,0.313,17,58,89.2,24.8,2391,92.7,92.67,19,142,168,0,6.16,109,159,118,145,298,322,298
308,592717,"Sanchez, Aaron",1601,19.2,0.306,0.122,0.333,0.429,0.368,0.334,0.263,15,49,90.6,16.8,2095,91.6,92.69,23,127,181,1.1000000000000085,6.91,115,157,115,149,299,323,297
307,683232,"Mears, Nick",483,63.6,0.233,0.183,0.25,0.417,0.339,0.361,0.25,14,60,89.1,16.2,2192,95.7,96.43,47,174,133,0.7000000000000028,6.69,110,152,121,148,300,322,293
306,666214,"Wentz, Joey",555,55.1,0.209,0.134,0.241,0.343,0.296,0.334,0.215,14,67,91,20.8,2273,92.4,91.8,20,142,164,-0.6000000000000085,6.18,108,155,116,146,300,329,292
303,663485,"Sands, Cole",603,50.2,0.231,0.077,0.297,0.308,0.326,0.347,0.211,12,52,92.3,20.3,2222,91.6,90.23,28,140,163,-1.3999999999999915,5.35,112,158,119,150,296,329,290
303,596071,"Peters, Dillon",1077,28.1,0.258,0.106,0.286,0.364,0.303,0.33,0.269,17,66,87.7,16.1,2280,91.8,91.7,23,145,158,-0.09999999999999432,6.17,106,152,118,148,305,321,294
303,670990,"Ramirez, Yohan",1056,28.7,0.231,0.308,0.2,0.538,0.405,0.4,0.237,15,65,87.2,19.1,2292,95,95.98,37,139,164,1,6.95,110,152,115,147,293,317,293
298,656685,"Martin, Brett",1668,17.9,0.278,0.1,0.308,0.378,0.303,0.287,0.262,25,90,87.6,5.1,2183,93.6,93.5,14,160,138,-0.09999999999999432,6.25,111,153,119,146,298,323,294
